Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
,,ClockMirage,,7-55,LowOrb,10,10,31,⬆️ 4,,,37,,27,85,10,,11,8,None-None-ClockMirage-None-7-55-LowOrb,,,,,,,,Arc,2,,,,,,,,Accel,3
,,SharkScale,,1-70,Rush,9,9,35,⬆️ 74,,,472,,198,256,1,,4,3,None-None-SharkScale-None-1-70-Rush,,,,,,,,Hornet,2,,,,,,,,GearFlat,2
,,SharkScale,,1-70,Jolt,9,9,35,⬇️ 16,,,472,,198,74,1,,4,9,None-None-SharkScale-None-1-70-Jolt,,,,,,,,DranSword,6,,,,,,,,Spike,2
,,SharkScale,,9-60,LowRush,9,9,35,⬇️ 12,,,472,,383,366,1,,2,1,None-None-SharkScale-None-9-60-LowRush,,,,,,,,Eclipse,8,,,,,,,,TransPoint,2
,,WizardRod,,9-60,Hexa,9,9,35,⬆️ 10,,,447,,383,354,2,,2,2,None-None-WizardRod-None-9-60-Hexa,,,,,,,,HellsScythe,6,,,,,,,,TransKick,1
,,PhoenixWing,,9-60,Rush,8,8,39,⬆️ 39,,,105,,383,256,5,,2,3,None-None-PhoenixWing-None-9-60-Rush,,,,,,,,HellsHammer,4,,,,,,,,BoundSpike,1
,,HoverWyvern,,9-60,Kick,8,8,39,⬇️ 25,,,20,,383,153,14,,2,5,None-None-HoverWyvern-None-9-60-Kick,,,,,,,,WyvernGale,3,,,,,,,,TestIgnition,1
,,SharkScale,,3-60,FreeBall,7,7,41,⬇️ 18,,,472,,279,197,1,,3,4,None-None-SharkScale-None-3-60-FreeBall,,,,,,,,Hunt,2,,,,,,,,,
,,SharkScale,,1-60,Kick,7,7,41,⬆️ 4,,,472,,539,153,1,,1,5,None-None-SharkScale-None-1-60-Kick,,,,,,,,WeissTiger,4,,,,,,,,,
,,SharkScale,,3-60,Jolt,7,7,41,⬇️ 6,,,472,,279,74,1,,3,9,None-None-SharkScale-None-3-60-Jolt,,,,,,,,VictoryValkyrie,2,,,,,,,,,
,,AeroPegasus,,9-60,LowRush,7,7,41,⬆️ 68,,,178,,383,366,3,,2,1,None-None-AeroPegasus-None-9-60-LowRush,,,,,,,,CrimsonGaruda,4,,,,,,,,,
,,SilverWolf,,9-60,LowOrb,7,7,41,⬆️ 68,,,87,,383,85,8,,2,8,None-None-SilverWolf-None-9-60-LowOrb,,,,,,,,ShinobiShadow,1,,,,,,,,,
,,CobaltDragoon,,7-60,Level,7,7,41,⬆️ 150,,,116,,184,153,4,,5,5,None-None-CobaltDragoon-None-7-60-Level,,,,,,,,Might,2,,,,,,,,,
,,PhoenixWing,,1-60,LowRush,7,7,41,⬇️ 11,,,105,,539,366,5,,1,1,None-None-PhoenixWing-None-1-60-LowRush,,,,,,,,GillShark,2,,,,,,,,,
,,SharkScale,,1-70,FreeBall,6,6,48,⬆️ 143,,,472,,198,197,1,,4,4,None-None-SharkScale-None-1-70-FreeBall,,,,,,,,Brush,3,,,,,,,,,
,,SharkScale,,9-60,Jolt,6,6,48,⬆️ 61,,,472,,383,74,1,,2,9,None-None-SharkScale-None-9-60-Jolt,,,,,,,,RockLeone,3,,,,,,,,,
,,SharkScale,,1-50,Rush,6,6,48,New,,,472,,24,256,1,,12,3,None-None-SharkScale-None-1-50-Rush,,,,,,,,ViperTail,1,,,,,,,,,
,,SharkScale,,1-50,LowRush,6,6,48,New,,,472,,24,366,1,,12,1,None-None-SharkScale-None-1-50-LowRush,,,,,,,,TriceraPress,3,,,,,,,,,
,,WizardRod,,7-60,Hexa,6,6,48,⬇️ 13,,,447,,184,354,2,,5,2,None-None-WizardRod-None-7-60-Hexa,,,,,,,,HellsChain,1,,,,,,,,,
,,WizardRod,,9-60,LowOrb,6,6,48,⬇️ 13,,,447,,383,85,2,,2,8,None-None-WizardRod-None-9-60-LowOrb,,,,,,,,Flame,2,,,,,,,,,
,,AeroPegasus,,9-60,Rush,6,6,48,New,,,178,,383,256,3,,2,3,None-None-AeroPegasus-None-9-60-Rush,,,,,,,,DranDagger,1,,,,,,,,,
Metal,,Blast,Heavy,9-60,LowRush,6,6,48,New,,,95,91,383,366,7,1,2,1,Metal-None-Blast-Heavy-9-60-LowRush,,,,,,,,Fang,2,,,,,,,,,
,,MeteorDragoon,,5-60,Level,6,6,48,⬇️ 18,,,104,,101,153,6,,6,5,None-None-MeteorDragoon-None-5-60-Level,,,,,,,,PhoenixRudder,2,,,,,,,,,
Plastic,,Blast,Heavy,9-60,Kick,6,6,48,New,,,95,91,383,153,7,1,2,5,Plastic-None-Blast-Heavy-9-60-Kick,,,,,,,,Reaper,1,,,,,,,,,
Plastic,,Blast,Heavy,3-60,Rush,6,6,48,New,,,95,91,279,256,7,1,3,3,Plastic-None-Blast-Heavy-3-60-Rush,,,,,,,,OptimusPrimal,1,,,,,,,,,
,,MummyCurse,,7-60,Hexa,6,6,48,⬆️ 30,,,50,,184,354,9,,5,2,None-None-MummyCurse-None-7-60-Hexa,,,,,,,,LightningL-Drago,2,,,,,,,,,
,,SharkScale,,9-70,LowRush,5,5,60,⬆️ 18,,,472,,49,366,1,,9,1,None-None-SharkScale-None-9-70-LowRush,,,,,,,,PhoenixFeather,1,,,,,,,,,
,,SharkScale,,1-60,LowOrb,5,5,60,⬆️ 18,,,472,,539,85,1,,1,8,None-None-SharkScale-None-1-60-LowOrb,,,,,,,,BlackShell,1,,,,,,,,,
,,SharkScale,,1-70,Level,5,5,60,⬇️ 2,,,472,,198,153,1,,4,5,None-None-SharkScale-None-1-70-Level,,,,,,,,CrocCrunch,2,,,,,,,,,
,,SharkScale,,1-60,Jolt,5,5,60,⬆️ 18,,,472,,539,74,1,,1,9,None-None-SharkScale-None-1-60-Jolt,,,,,,,,TestBlitz,1,,,,,,,,,
,,WizardRod,,3-60,Hexa,5,5,60,⬇️ 2,,,447,,279,354,2,,3,2,None-None-WizardRod-None-3-60-Hexa,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,Kick,5,5,60,⬇️ 25,,,447,,539,153,2,,1,5,None-None-WizardRod-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,3-60,Kick,5,5,60,⬇️ 30,,,178,,279,153,3,,3,5,None-None-AeroPegasus-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-60,Kick,5,5,60,⬇️ 2,,,178,,383,153,3,,2,5,None-None-AeroPegasus-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-60,Point,5,5,60,⬆️ 131,,,178,,539,38,3,,1,12,None-None-AeroPegasus-None-1-60-Point,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-60,FreeBall,5,5,60,⬆️ 49,,,87,,279,197,8,,3,4,None-None-SilverWolf-None-3-60-FreeBall,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,9-60,Jolt,5,5,60,New,,,95,91,383,74,7,1,2,9,Plastic-None-Blast-Heavy-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,LowOrb,5,5,60,⬇️ 2,,,50,,539,85,9,,1,8,None-None-MummyCurse-None-1-60-LowOrb,,,,,,,,,,,,,,,,,,
,,ClockMirage,,4-55,LowOrb,5,5,60,⬇️ 37,,,37,,11,85,10,,14,8,None-None-ClockMirage-None-4-55-LowOrb,,,,,,,,,,,,,,,,,,
,,ClockMirage,,7-55,UnderNeedle,5,5,60,⬇️ 25,,,37,,27,19,10,,11,13,None-None-ClockMirage-None-7-55-UnderNeedle,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Level,4,4,74,⬇️ 55,,,472,,48,153,1,,10,5,None-None-SharkScale-None-4-50-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Kick,4,4,74,⬆️ 117,,,472,,48,153,1,,10,5,None-None-SharkScale-None-4-50-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,UnderFlat,4,4,74,⬆️ 117,,,472,,48,9,1,,10,17,None-None-SharkScale-None-4-50-UnderFlat,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Jolt,4,4,74,⬆️ 117,,,472,,48,74,1,,10,9,None-None-SharkScale-None-4-50-Jolt,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-60,Rush,4,4,74,⬆️ 4,,,472,,184,256,1,,5,3,None-None-SharkScale-None-7-60-Rush,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,Rush,4,4,74,New,,,447,,539,256,2,,1,3,None-None-WizardRod-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-70,FreeBall,4,4,74,New,,,447,,198,197,2,,4,4,None-None-WizardRod-None-1-70-FreeBall,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,LowRush,4,4,74,⬆️ 117,,,178,,198,366,3,,4,1,None-None-AeroPegasus-None-1-70-LowRush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-60,Jolt,4,4,74,⬆️ 4,,,178,,539,74,3,,1,9,None-None-AeroPegasus-None-1-60-Jolt,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-60,Level,4,4,74,⬆️ 35,,,178,,539,153,3,,1,5,None-None-AeroPegasus-None-1-60-Level,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,3-60,LowRush,4,4,74,New,,,95,91,279,366,7,1,3,1,Metal-None-Blast-Heavy-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-60,Ball,4,4,74,⬆️ 35,,,87,,383,43,8,,2,10,None-None-SilverWolf-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Elevate,4,4,74,⬆️ 117,,,104,,383,117,6,,2,7,None-None-MeteorDragoon-None-9-60-Elevate,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,Hexa,4,4,74,⬆️ 117,,,50,,539,354,9,,1,2,None-None-MummyCurse-None-1-60-Hexa,,,,,,,,,,,,,,,,,,
,,KnightMail,,1-60,Rush,4,4,74,⬇️ 29,,,19,,539,256,15,,1,3,None-None-KnightMail-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,7-60,Kick,4,4,74,New,,,19,,184,153,15,,5,5,None-None-OrochiCluster-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-80,LowRush,3,3,90,⬇️ 12,,,472,,9,366,1,,15,1,None-None-SharkScale-None-1-80-LowRush,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Wedge,3,3,90,New,,,472,,279,39,1,,3,11,None-None-SharkScale-None-3-60-Wedge,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,LowOrb,3,3,90,⬆️ 19,,,472,,279,85,1,,3,8,None-None-SharkScale-None-3-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Kick,3,3,90,New,,,472,,383,153,1,,2,5,None-None-SharkScale-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Kick,3,3,90,⬇️ 12,,,472,,279,153,1,,3,5,None-None-SharkScale-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-60,Level,3,3,90,⬆️ 19,,,472,,539,153,1,,1,5,None-None-SharkScale-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-60,Hexa,3,3,90,New,,,472,,539,354,1,,1,2,None-None-SharkScale-None-1-60-Hexa,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-70,Rush,3,3,90,New,,,472,,49,256,1,,9,3,None-None-SharkScale-None-9-70-Rush,,,,,,,,,,,,,,,,,,
,,SharkScale,,9-60,Rush,3,3,90,⬇️ 45,,,472,,383,256,1,,2,3,None-None-SharkScale-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,Ball,3,3,90,⬇️ 67,,,447,,539,43,2,,1,10,None-None-WizardRod-None-1-60-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,LowRush,3,3,90,⬇️ 12,,,447,,539,366,2,,1,1,None-None-WizardRod-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,WizardRod,,7-60,FreeBall,3,3,90,New,,,447,,184,197,2,,5,4,None-None-WizardRod-None-7-60-FreeBall,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,3-60,Level,3,3,90,⬇️ 45,,,178,,279,153,3,,3,5,None-None-AeroPegasus-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-60,LowRush,3,3,90,New,,,178,,184,366,3,,5,1,None-None-AeroPegasus-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-60,FreeBall,3,3,90,⬆️ 101,,,178,,383,197,3,,2,4,None-None-AeroPegasus-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,9-70,Kick,3,3,90,⬆️ 101,,,178,,49,153,3,,9,5,None-None-AeroPegasus-None-9-70-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,Kick,3,3,90,New,,,178,,198,153,3,,4,5,None-None-AeroPegasus-None-1-70-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,1-70,Rush,3,3,90,⬆️ 101,,,178,,198,256,3,,4,3,None-None-AeroPegasus-None-1-70-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,7-60,Rush,3,3,90,New,,,95,91,184,256,7,1,5,3,Metal-None-Blast-Heavy-7-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,9-60,Jolt,3,3,90,New,,,95,91,383,74,7,1,2,9,Metal-None-Blast-Heavy-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-60,Hexa,3,3,90,New,,,87,,279,354,8,,3,2,None-None-SilverWolf-None-3-60-Hexa,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,FreeBall,3,3,90,⬇️ 45,,,87,,49,197,8,,9,4,None-None-SilverWolf-None-9-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,7-60,FreeBall,3,3,90,⬇️ 12,,,87,,184,197,8,,5,4,None-None-SilverWolf-None-7-60-FreeBall,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,5-60,Level,3,3,90,⬆️ 101,,,116,,101,153,4,,6,5,None-None-CobaltDragoon-None-5-60-Level,,,,,,,,,,,,,,,,,,
,,MummyCurse,,9-60,Wedge,3,3,90,⬇️ 12,,,50,,383,39,9,,2,11,None-None-MummyCurse-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,ClockMirage,,4-55,FreeBall,3,3,90,⬆️ 101,,,37,,11,197,10,,14,4,None-None-ClockMirage-None-4-55-FreeBall,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-60,LowOrb,3,3,90,⬆️ 19,,,37,,383,85,10,,2,8,None-None-GolemRock-None-9-60-LowOrb,,,,,,,,,,,,,,,,,,
,,GolemRock,,3-60,FreeBall,3,3,90,⬆️ 101,,,37,,279,197,10,,3,4,None-None-GolemRock-None-3-60-FreeBall,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-60,FreeBall,3,3,90,⬇️ 32,,,37,,383,197,10,,2,4,None-None-GolemRock-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,LowRush,2,2,119,⬇️ 10,,,472,,101,366,1,,6,1,None-None-SharkScale-None-5-60-LowRush,,,,,,,,,,,,,,,,,,
,,SharkScale,,1-70,Kick,2,2,119,⬇️ 74,,,472,,198,153,1,,4,5,None-None-SharkScale-None-1-70-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-60,Hexa,2,2,119,⬆️ 72,,,472,,279,354,1,,3,2,None-None-SharkScale-None-3-60-Hexa,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Rush,2,2,119,New,,,472,,48,256,1,,10,3,None-None-SharkScale-None-4-50-Rush,,,,,,,,,,,,,,,,,,
,,SharkScale,,6-60,Jolt,2,2,119,⬆️ 72,,,472,,53,74,1,,7,9,None-None-SharkScale-None-6-60-Jolt,,,,,,,,,,,,,,,,,,
,,SharkScale,,6-60,LowOrb,2,2,119,New,,,472,,53,85,1,,7,8,None-None-SharkScale-None-6-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-60,Kick,2,2,119,⬇️ 41,,,472,,184,153,1,,5,5,None-None-SharkScale-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,Level,2,2,119,⬇️ 10,,,472,,101,153,1,,6,5,None-None-SharkScale-None-5-60-Level,,,,,,,,,,,,,,,,,,
,,SharkScale,,3-70,Rush,2,2,119,⬇️ 10,,,472,,13,256,1,,13,3,None-None-SharkScale-None-3-70-Rush,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-60,RubberAccel,2,2,119,New,,,472,,184,8,1,,5,19,None-None-SharkScale-None-7-60-RubberAccel,,,,,,,,,,,,,,,,,,
,,SharkScale,,4-50,Taper,2,2,119,⬆️ 72,,,472,,48,17,1,,10,14,None-None-SharkScale-None-4-50-Taper,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,FreeBall,2,2,119,New,,,472,,52,197,1,,8,4,None-None-SharkScale-None-7-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SharkScale,,5-60,FreeBall,2,2,119,⬇️ 10,,,472,,101,197,1,,6,4,None-None-SharkScale-None-5-60-FreeBall,,,,,,,,,,,,,,,,,,
,,SharkScale,,7-70,LowRush,2,2,119,⬇️ 61,,,472,,52,366,1,,8,1,None-None-SharkScale-None-7-70-LowRush,,,,,,,,,,,,,,,,,,
,,WizardRod,,3-60,Level,2,2,119,New,,,447,,279,153,2,,3,5,None-None-WizardRod-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-80,Hexa,2,2,119,New,,,447,,9,354,2,,15,2,None-None-WizardRod-None-1-80-Hexa,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-60,WallBall,2,2,119,New,,,447,,539,10,2,,1,16,None-None-WizardRod-None-1-60-WallBall,,,,,,,,,,,,,,,,,,
,,WizardRod,,7-60,Ball,2,2,119,⬇️ 10,,,447,,184,43,2,,5,10,None-None-WizardRod-None-7-60-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,3-60,Ball,2,2,119,⬇️ 61,,,447,,279,43,2,,3,10,None-None-WizardRod-None-3-60-Ball,,,,,,,,,,,,,,,,,,
,,WizardRod,,9-60,Wedge,2,2,119,⬇️ 41,,,447,,383,39,2,,2,11,None-None-WizardRod-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,WizardRod,,3-60,Unite,2,2,119,New,,,447,,279,12,2,,3,15,None-None-WizardRod-None-3-60-Unite,,,,,,,,,,,,,,,,,,
,,WizardRod,,1-50,Kick,2,2,119,New,,,447,,24,153,2,,12,5,None-None-WizardRod-None-1-50-Kick,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-70,Rush,2,2,119,⬆️ 72,,,178,,52,256,3,,8,3,None-None-AeroPegasus-None-7-70-Rush,,,,,,,,,,,,,,,,,,
,,AeroPegasus,,7-60,Level,2,2,119,⬆️ 72,,,178,,184,153,3,,5,5,None-None-AeroPegasus-None-7-60-Level,,,,,,,,,,,,,,,,,,
